filtered	sample
0	2017-12-29-3096-PR2-0061-A
4241	2017-12-29-3096-PR2-0061-B
21	2017-12-29-3315-PR2-0062-A
4	2017-12-29-3315-PR2-0062-B
8	2017-12-29-3364-PR2-0061-A
95	2017-12-29-3364-PR2-0061-B
0	2017-12-29-3504-PR2-009-A
0	2017-12-29-3504-PR2-009-B
3	2017-12-29-3504-PR2-010-a
22	2017-12-29-3504-PR2-010-b
0	2017-12-29-3508-PR2-009-B
2	2017-12-29-3508-PR2-011-a
0	2017-12-29-3508-PR2-011-b
0	2017-12-29-3510-PR2-008-A
0	2017-12-29-3510-PR2-008-B
2	2017-12-29-3510-PR2-010-a
0	2017-12-29-3510-PR2-010-b
0	2017-12-29-3510-PR2-18-A
24	2017-12-29-3510-PR2-18-B
24892	2018-01-03-3164-PR2-0062-A
15176	2018-01-03-3164-PR2-0062-B
41286	2018-01-04-3284-PR2-009-A
149	2018-01-04-3284-PR2-009-B
5	2018-01-04-3284-PR2-011-a
15413	2018-01-04-3284-PR2-011-b
56603	2018-01-04-3285-PR2-0061-A
35558	2018-01-04-3285-PR2-0061-B
27425	2018-01-04-3523-PR2-008-A
24979	2018-01-04-3523-PR2-008-B
8	2018-01-04-3525-PR2-010-a
1	2018-01-04-3525-PR2-010-b
47809	2018-01-04-3527-PR2-009-A
42073	2018-01-04-3527-PR2-009-B
5	2018-01-05-3336-PR2-010-a
7	2018-01-05-3336-PR2-010-b
0	2018-01-08-3540-PR2-010-a
16984	2018-01-08-3540-PR2-010-b
17889	2018-01-08-3541-PR2-010-a
17061	2018-01-08-3541-PR2-010-b
19567	2018-01-08-3542-PR2-0071-A
26565	2018-01-08-3542-PR2-0071-B
52201	2018-01-08-3546-PR2-009-A
49491	2018-01-08-3546-PR2-009-B
1	2018-01-09-3575-PR2-010-a
24321	2018-01-09-3575-PR2-010-b
1	2018-01-09-3577-PR2-009-A
311	2018-01-09-3577-PR2-009-B
5	2018-01-09-3577-PR2-011-a
0	2018-01-09-3577-PR2-011-b
45219	2018-01-09-3578-PR2-0072-A
32065	2018-01-09-3578-PR2-0072-B
17408	2018-01-09-3579-PR2-008-A
30208	2018-01-09-3579-PR2-008-B
1	2018-01-09-3580-PR2-010-a
0	2018-01-09-3580-PR2-010-b
7094	2018-01-09-3602-PR2-0071-A
